player_id,name,birthdate,nationality,position,market_value,current_team_id,instagram_followers,engagement_rate,media_mentions
1,Allison Hill,1989-07-14,Saint Pierre and Miquelon,Defender,91400476.29,9,9516702,8.83,2587
2,Patrick Gardner,1997-12-25,Antigua and Barbuda,Defender,65888427.86,9,6638601,8.9,3768
3,Daniel Wagner,1985-01-04,Congo,Defender,27223136.48,19,4138722,7.58,4425
4,Meredith Barnes,1994-09-25,Fiji,Midfielder,74954367.35,2,7188926,9.03,3281
5,Abigail Shaffer,2000-06-16,Guam,Midfielder,22712755.16,14,2321821,5.34,754
6,Daniel Gallagher,1986-10-02,Hong Kong,Goalkeeper,86249188.06,11,2565251,6.46,3468
7,Ryan Munoz,2002-12-18,Saint Lucia,Goalkeeper,39091963.86,1,9998348,9.96,4344
8,Calvin Nielsen,1986-03-19,French Polynesia,Midfielder,97136759.38,15,193619,6.96,948
9,Lisa Hensley,1997-09-05,Romania,Midfielder,77091274.53,4,5708197,1.56,3571
10,Matthew Mejia,2007-01-22,Timor-Leste,Defender,45918646.93,16,4419934,9.73,1473
11,Brian Ramirez,1999-01-08,Haiti,Goalkeeper,87181338.41,15,5008072,8.5,4168
12,Henry Santiago,2000-07-17,Pitcairn Islands,Defender,16131087.59,3,2711343,5.62,4354
13,Lisa Jackson,2001-03-03,Central African Republic,Goalkeeper,60295513.86,12,8198443,0.69,2983
14,Devin Schaefer,2000-03-24,Cyprus,Midfielder,24705778.72,12,4042154,8.84,655
15,Sarah Parsons,1989-09-02,Antigua and Barbuda,Goalkeeper,73458851.89,15,1162193,9.79,4373
16,Jennifer Jones,2005-05-27,Montenegro,Defender,13710754.99,10,7974915,9.5,1362
17,Emily Rios,1993-07-02,United States Virgin Islands,Midfielder,53239704.95,10,7100076,9.66,4427
18,Brenda Taylor,2001-07-14,Mauritania,Defender,71581948.31,19,6694979,9.95,3069
19,Kevin Hurst,1993-08-02,Cyprus,Forward,90061794.38,16,7575680,1.65,1850
20,Brenda Snyder PhD,2004-03-16,Cape Verde,Goalkeeper,34470470.65,8,9871182,5.76,4830
21,Rebecca Henderson,1985-11-11,Hong Kong,Defender,1711893.06,7,988737,2.67,267
22,Julie King,1997-02-15,Western Sahara,Midfielder,8014877.64,5,3994055,3.15,3986
23,Nathan Maldonado,1996-10-01,Ethiopia,Defender,54384159.21,7,9581513,5.97,2000
24,Gina Carter,1988-01-15,Afghanistan,Forward,80942202.78,20,3195548,1.4,3541
25,Sherri Baker,1995-11-30,Christmas Island,Midfielder,42934283.68,17,7836373,8.71,453
26,Ashley Garrett,2003-10-05,Madagascar,Goalkeeper,7000654.73,10,5693553,8.11,905
27,Brittany Farmer,1996-10-21,Slovakia (Slovak Republic),Defender,19967417.14,17,8998381,4.76,3466
28,Tamara George,1995-08-22,Bouvet Island (Bouvetoya),Defender,28575969.32,6,4192056,8.81,627
29,Sherry Decker,1991-06-23,Azerbaijan,Forward,80994202.23,18,9233926,1.43,4438
30,Keith Miller,2001-03-27,Suriname,Goalkeeper,96930629.47,7,3966789,2.08,3988
31,Philip Cannon,1987-05-10,Lebanon,Forward,22160982.62,2,6729339,9.07,1358
32,Carmen Rose,1998-05-09,Croatia,Forward,1213382.46,10,6551190,3.02,3737
33,Nicole Vaughn,2000-10-18,Iran,Midfielder,42877741.11,12,9325245,6.79,3996
34,Marie Kim DDS,1987-03-09,Czech Republic,Defender,19799888.86,13,3653414,9.7,4754
35,Alex Spencer,1997-12-07,Albania,Goalkeeper,75049580.48,15,960074,0.98,3915
36,Mark Perez,2005-03-23,Tokelau,Defender,6631078.39,9,8520948,1.26,1532
37,Jose Ramirez,1995-07-26,Mauritius,Goalkeeper,59908475.54,20,3947066,4.34,4676
38,Timothy Duncan,1995-04-10,Slovenia,Defender,58312986.69,11,667754,6.38,3444
39,Jason Davis,1999-07-23,Guinea,Midfielder,93535919.52,18,3427900,6.86,2583
40,John Daniel,1999-11-21,Oman,Defender,27295836.74,3,2196773,6.88,2467
41,James Morgan,2004-03-21,Egypt,Forward,32301542.43,8,1218071,0.59,4622
42,Joshua Taylor,1988-08-15,Kyrgyz Republic,Goalkeeper,8252811.39,5,3577135,5.31,1095
43,Thomas Ramos,2004-03-18,Mexico,Midfielder,88205553.19,8,4099412,4.01,1302
44,Matthew Fernandez,1984-09-27,Bermuda,Forward,83540750.51,9,5076395,6.31,4343
45,Sarah Martin,1995-07-28,Croatia,Goalkeeper,67118457.17,4,9305682,3.34,858
46,Stephanie Martin,1984-06-14,Iceland,Defender,27182126.23,14,1796765,7.55,1283
47,Richard Gibson,1994-02-17,Saint Martin,Midfielder,28893870.87,13,3534779,7.32,1677
48,Kristi Higgins MD,1991-03-24,Azerbaijan,Midfielder,51035496.75,13,4214115,9.1,426
49,Kimberly Adkins,1985-09-19,Myanmar,Goalkeeper,63794160.28,2,4642923,0.92,2742
50,Thomas Schmidt,1985-09-16,Malawi,Defender,64074224.35,7,4395880,2.04,3629
51,Cody Larson,1999-12-06,Dominica,Forward,56529779.61,20,1877932,1.21,1231
52,Todd Hudson,1997-09-18,Armenia,Goalkeeper,83624906.97,10,9773888,5.75,3530
53,Jennifer Silva,1996-06-04,Vietnam,Defender,5141056.96,1,6118837,9.04,336
54,Michael Edwards,1990-07-06,Bulgaria,Midfielder,21797577.3,11,4187414,6.84,2907
55,Elizabeth Stewart,2001-09-10,Barbados,Forward,97409865.24,4,2593974,9.29,1949
56,Marc Hart,1986-09-13,Mauritania,Defender,97644397.26,8,2971445,8.87,213
57,Derek Mahoney,2004-08-29,Turkmenistan,Defender,73919882.7,12,5574147,7.93,3382
58,Dustin Kim,1996-11-23,Gabon,Defender,27413765.25,14,1814543,4.13,327
59,Victoria Valdez,1984-07-31,Svalbard & Jan Mayen Islands,Forward,23020938.04,5,7723606,3.82,1874
60,Tara Garcia,2004-08-06,Estonia,Defender,3342779.04,13,3241180,4.29,2292
61,Brian Tran,1990-08-31,Netherlands,Goalkeeper,96722021.3,5,4683940,3.84,4183
62,Grant Watts,2004-01-07,Madagascar,Forward,68272293.72,2,8997207,3.65,236
63,Taylor Mathis Jr.,1994-02-22,Falkland Islands (Malvinas),Goalkeeper,87826802.75,2,4383463,2.2,2184
64,Gavin Anderson,2006-12-08,Central African Republic,Goalkeeper,11731852.17,14,7291770,3.78,2579
65,Kristen Patterson,1984-08-16,Belarus,Forward,61014676.48,17,8581255,1.6,4733
66,Melissa Hernandez,1985-03-25,Heard Island and McDonald Islands,Defender,26217528.11,4,7316831,0.52,4420
67,Brittany Anderson,1991-06-29,United Arab Emirates,Defender,37057925.71,16,1174965,9.51,2714
68,Valerie Williams,1992-08-18,Pitcairn Islands,Midfielder,66675360.15,9,2091865,7.34,2470
69,Brian Deleon,2004-09-25,Ireland,Midfielder,67022397.51,19,5473441,4.32,2432
70,Nicole Frost,1989-11-05,Central African Republic,Defender,19992169.21,5,6362002,6.93,1435
71,Rita Keith,1984-12-21,Saint Pierre and Miquelon,Midfielder,41201441.71,1,7810,3.39,1731
72,Rachel Jenkins,1999-10-23,Saint Pierre and Miquelon,Forward,78790123.92,20,5407444,4.92,3632
73,Debra Cobb,1986-11-21,Tunisia,Defender,51606225.69,12,2847949,6.76,2334
74,John Gonzalez,2005-07-10,Guernsey,Midfielder,10245332.81,19,3941441,6.89,1850
75,Robert Perez,1984-12-11,Congo,Defender,15588042.26,11,776337,2.83,3902
76,Donald Jones,2002-03-09,Guernsey,Goalkeeper,46086200.67,18,9659155,2.35,3155
77,Jennifer Zavala,1996-09-25,Wallis and Futuna,Forward,40565633.42,6,2476836,6.73,55
78,Shawn Green,1997-10-02,Estonia,Goalkeeper,78063620.27,15,3672545,2.17,4253
79,Kyle Reed,2002-06-27,Jordan,Forward,5971620.13,17,4181853,9.22,1004
80,Kayla Cruz,1997-08-30,Equatorial Guinea,Forward,14200571.45,16,7796419,6.84,4588
81,Jeffrey Meyer,2002-12-13,Poland,Midfielder,95053921.24,13,7426149,6.32,4145
82,Natalie Lambert,1992-10-11,Bangladesh,Forward,83226347.8,6,9192766,4.74,1313
83,Tammie Hanson,1999-08-29,British Virgin Islands,Forward,45556905.97,6,4148994,8.48,2281
84,Elizabeth Parker,1993-10-17,Iraq,Forward,63048095.26,18,4607980,4.68,2350
85,Kristen Lee,1999-09-11,Hong Kong,Defender,27899795.6,20,5364836,8.98,670
86,Stephanie Gilbert,1991-04-28,Mexico,Defender,15932235.14,1,6427265,7.09,1762
87,Elizabeth Clark,2002-06-22,New Caledonia,Goalkeeper,42071921.69,11,5552268,5.65,3416
88,Julie Ramos,1989-04-26,Lebanon,Goalkeeper,21476604.56,16,7049838,4.2,4794
89,Toni Fitzgerald,1999-07-22,Finland,Goalkeeper,85816471.2,3,9659481,4.11,58
90,Mackenzie Rogers,2003-03-23,Sao Tome and Principe,Midfielder,30562652.58,14,6543890,8.61,3442
91,Eric Drake,1987-10-16,Aruba,Defender,49334718.28,18,4580094,4.64,247
92,John Atkinson,1986-01-28,Israel,Forward,34276824.83,3,6784308,7.38,3838
93,Laura Higgins,1993-03-26,Iran,Defender,98091475.77,4,8962107,0.76,3237
94,Matthew Smith,2001-09-03,Sierra Leone,Goalkeeper,9310798.75,6,7191929,1.79,3792
95,Paula Robinson,2002-11-23,Qatar,Defender,5978178.72,7,6361307,3.61,3734
96,Amber Wright,2003-11-30,Korea,Midfielder,34412554.26,8,6361682,3.14,3463
97,John Schmidt,1997-04-03,Ghana,Midfielder,83656180.58,19,7891439,0.68,4428
98,Stephanie Salazar,2000-12-10,Madagascar,Goalkeeper,99990875.02,1,5872360,2.63,572
99,Terry Griffin,1988-01-23,Tokelau,Goalkeeper,75669087.2,3,4149725,2.39,176
100,David Wright,1999-01-25,Seychelles,Defender,24615949.25,17,7946036,6.86,4630
